restaurant_name,location,menu_item,notes,
Beauty & Essex,"146 Essex St, New York, NY 10002",Citrus Glazed String Beans,
Beauty & Essex,"146 Essex St, New York, NY 10002",Bbq Fries,
Beauty & Essex,"146 Essex St, New York, NY 10002",Housemade Cookie,
Beauty & Essex,"146 Essex St, New York, NY 10002",Boozy Milkshake Shot,
Beauty & Essex,"146 Essex St, New York, NY 10002",Selection Of Gelato & Sorbets,
Beauty & Essex,"146 Essex St, New York, NY 10002",Dark Chocolate Brownie Sundae,
Beauty & Essex,"146 Essex St, New York, NY 10002",Black Bottomed Butterscotch Pot De Créme,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",Huevos Rancheros,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",Tofu Florentine,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",Pancakes,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",Roasted Cauliflower,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",Jackfruit Tacos,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",Caesar,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",Kale,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",Greek,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",10 Vegetable Stir-Fry,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",Chocolate Ganache,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",Cashewtopia Ice Cream,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",‘Salmon’ Tofu,
Blossom Restaurant,"507 Columbus Ave, New York City New York 10024",Curried Stuffed Sweet Potato,
Bocaphe,"222 Lafayette St, New York City New York 10012",Taro Fries,
Bocaphe,"222 Lafayette St, New York City New York 10012",Shishito Peppers,
Bocaphe,"222 Lafayette St, New York City New York 10012",Crispy Spring Roll,
Bocaphe,"222 Lafayette St, New York City New York 10012",Fresh Summer Roll,
Bocaphe,"222 Lafayette St, New York City New York 10012",Veggie & Tofu Bo Bun,
Bocaphe,"222 Lafayette St, New York City New York 10012",Salmon & Thai Basil,
Bocaphe,"222 Lafayette St, New York City New York 10012",Salmon & Avocado,
Bocaphe,"222 Lafayette St, New York City New York 10012",Veggie & Tofu Rice Bowl,
Buddakan,"75 9th Avenue, New York, NY 10011",Vegetable Fried Rice,
Burger And Lobster,"39 W 19Th St, New York City New York 10011",Beyond Burger,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Quesadilla,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Tostada De Tuna,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Ceviche,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Pulpo A Las Brasas,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Queso Fundido,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Taquitos De Langosta,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Ellote Callejero,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Ensalada De Tomates Con Queso,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Ensalada De Sandia Con Queso Fresco,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Pollo,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Dorados,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Carnitas,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Birria,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Hongos Enchiladas,
